iso_a3,country_name,centroid_lon,centroid_lat,gdp_year,gdp_current_usd,gdp_log10,study_count
SYC,Seychelles,55.4760277998135,-4.66098974524066,2024,2167239562.46013,9.33590692004343,0
SLE,Sierra Leone,-11.7926118516903,8.56249233442925,2024,6971127235.3123,9.843303009445696,0
SXM,Sint Maarten,-63.0571336446886,18.0508225280051,2024,1797836665.95136,9.254750233393779,0
SLB,Solomon Is.,159.622342602782,-8.92311721222479,2024,1583964703.75061,9.19974549976791,0
SOM,Somalia,45.6792928368265,4.73940621544563,2024,11967000000,10.077985291029503,0
BLM,St-Barthélemy,-62.840676930188,17.8988056284832,NA,NA,NA,0
MAF,St-Martin,-63.0597289426657,18.0888907568131,2021,649206262.847519,8.812382700782967,0
KNA,St. Kitts and Nevis,-62.687467247912,17.264578665519,2024,1122388888.88889,9.05014335873473,0
SPM,St. Pierre and Miquelon,-56.303060329307,46.9190002073809,NA,NA,NA,0
VCT,St. Vin. and Gren.,-61.2013173917894,13.2246770323331,2024,1157207407.40741,9.063411204949906,0
SUR,Suriname,-55.9124311661924,4.12984829312196,2024,4416775112.09627,9.64510528695093,0
STP,São Tomé and Principe,6.72421638168838,0.443840111655542,2024,822154621.088897,8.91495350217607,0
TJK,Tajikistan,71.0268540220455,38.5365490337492,2024,14204575548.5536,10.152428260961095,0
TON,Tonga,-174.801931117209,-20.4205125691269,2023,591139749.44287,8.771690163177826,0
TTO,Trinidad and Tobago,-61.2659018391326,10.4571725762484,2024,25633544529.4849,10.408808663272096,0
TKM,Turkmenistan,59.4464223563841,39.1254707125414,2024,51387209872.2994,10.7108550378066,0
TCA,Turks and Caicos Is.,-71.9739066622584,21.8306218778817,2024,1745378000,9.241889497505106,0
TUV,Tuvalu,179.205565197762,-8.50345062035297,2023,62280311.5852172,7.794350776654625,0
VIR,U.S. Virgin Is.,-64.8028713164479,17.9545678583165,2022,4672000000,9.669502834104343,0
VAT,Vatican,12.4338717583753,41.9017498858824,NA,NA,NA,0
ESH,W. Sahara,-12.2714969904972,24.2117292428168,NA,NA,NA,0
WLF,Wallis and Futuna Is.,-177.344320004362,-13.8882289701232,NA,NA,NA,0
ZMB,Zambia,27.8085818823144,-13.4555254959824,2024,25303185342.2511,10.40317519664951,0
SWZ,eSwatini,31.4818696059185,-26.5575464900803,2024,4858885840.77236,9.686536695460404,0
ALA,Åland,19.9535538088688,60.2148676916094,NA,NA,NA,0
