"code","iso","country","MHP.raw.2010","MHP.raw.2011","MHP.raw.2012","MHP.raw.2013","MHP.raw.2014","MHP.raw.2015","MHP.raw.2016","MHP.raw.2017","MHP.raw.2018","MHP.raw.2019","MHP.raw.2020","MHP.raw.2021","MHP.raw.2022","MHP.raw.2023","MHP.raw.2024"
344,"HKG","Hong Kong",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
348,"HUN","Hungary",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
352,"ISL","Iceland",14.3363958318393,14.3363958318393,14.3363958318393,14.3363958318393,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927,29.2330123731927
356,"IND","India",0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476,0.166607395297476
360,"IDN","Indonesia",9.71462970430223,9.78269776478764,10.1487361666792,10.5215920474793,11.1432142425317,11.2608508538982,12.04417634793,12.449956168525,13.0059387918436,13.0059387918436,13.0059387918436,13.0059387918436,13.0059387918436,13.0059387918436,13.0059387918436
364,"IRN","Iran",22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758,22.1573613287758
368,"IRQ","Iraq",0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424,0.442197705833424
372,"IRL","Ireland",42.4729256250995,42.4729256250995,42.4729256250995,42.4729256250995,42.5964528010782,42.5964528010782,43.2175708135006,43.2175708135006,44.591197187127,46.8576807036105,46.8576807036105,46.8576807036105,46.8576807036105,46.8576807036105,46.8576807036105
833,"IMN","Isle of Man",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
376,"ISR","Israel",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
380,"ITA","Italy",37.2183906631468,37.2183906631468,37.2183906631468,37.2243036243578,37.2243036243578,37.3307369261553,37.4253443055309,38.9598014164424,40.8190581572181,41.4340061231595,41.788783795818,41.788783795818,41.788783795818,41.788783795818,41.788783795818
388,"JAM","Jamaica",19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,19.2121597747531,20.2514792625591,20.2514792625591,20.2514792625591,20.2514792625591
392,"JPN","Japan",43.0897055559451,43.8404426910134,43.8722362328447,55.6497415552616,55.8964608051804,55.8964608051804,55.8964608051804,55.9725482925846,56.002632528445,56.002632528445,57.0361686266838,58.7028352933505,58.7028352933505,58.7028352933505,58.7028352933505
832,"JEY","Jersey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
400,"JOR","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,"KAZ","Kazakhstan",41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667,41.6666666666667
404,"KEN","Kenya",20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346,20.2590622231346
296,"KIR","Kiribati",7.94562413169461,7.94562413169461,7.94562413169461,7.9959765989655,7.9959765989655,7.9959765989655,7.9959765989655,7.99844191084712,7.99844191084712,7.99844191084712,7.99844191084712,7.99844191084712,7.99844191084712,7.99844191084712,7.99844191084712
689,"XKX","Kosovo",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
414,"KWT","Kuwait",5.1190921768587,5.1190921768587,5.1190921768587,5.1190921768587,6.50798106574759,6.50798106574759,6.84337422114692,6.84337422114692,6.84337422114692,6.84337422114692,6.84337422114692,6.84337422114692,7.42892912806785,7.42892912806785,7.42892912806785
417,"KGZ","Kyrgyzstan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
418,"LAO","Laos",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
428,"LVA","Latvia",42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429
422,"LBN","Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,"LSO","Lesotho",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
430,"LBR","Liberia",4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637,4.52898550724637
434,"LBY","Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"LIE","Liechtenstein",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
440,"LTU","Lithuania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
442,"LUX","Luxembourg",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
446,"MAC","Macao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
450,"MDG","Madagascar",8.1793882287895,10.5384306302048,10.5384306302048,10.5384306302048,10.5384306302048,10.5384306302048,10.5384306302048,12.7710320683147,12.7710320683147,12.7710320683147,12.7780499910096,14.8217447183872,14.8217447183872,14.8217447183872,14.8217447183872
454,"MWI","Malawi",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
458,"MYS","Malaysia",6.26818387597458,6.26818387597458,6.29867749137385,6.30630089522367,6.57312002996733,6.5862600901012,11.5508494085251,11.5508494085251,11.5508494085251,12.4175526449485,12.4175526449485,12.4175526449485,12.4175526449485,12.4175526449485,12.4175526449485
462,"MDV","Maldives",0.6916317170038,0.904594679966763,0.904898914300216,0.904898914300216,0.904898914300216,0.904898914300216,0.904898914300216,0.904898914300216,0.989297067800636,1.24157882530153,1.32612909596868,1.32612909596868,1.32612909596868,1.32612909596868,1.32612909596868
466,"MLI","Mali",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
470,"MLT","Malta",56.6013483076254,56.6013483076254,56.6013483076254,56.6013483076254,56.6013483076254,56.6013483076254,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682,57.8844152414682
584,"MHL","Marshall Islands",4.82021339018147,4.82021339018147,4.95621734666019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019,5.0756079622019
478,"MRT","Mauritania",20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475,20.6858054226475
480,"MUS","Mauritius",17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001,17.1001001001001
484,"MEX","Mexico",34.0637508247219,34.0637508247219,34.3432694041292,34.3432694041292,34.3432694041292,34.3432694041292,47.454745037669,48.561943680392,48.561943680392,48.561943680392,48.561943680392,48.561943680392,48.561943680392,48.561943680392,48.561943680392
