"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019","UWD.raw.2020","UWD.raw.2021"
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",630.74987824339,539.12481817762,519.77806583935,544.60396440694,522.1275356676,494.58920692611,458.20021034698,397.4557539802,369.32480705551,311.50624803403,268.27122249595,224.42782766749,203.78648016336,197.23815285135,195.19884800361,204.41728853039,207.12968323103,203.38267630954,195.57355599439,190.29037507225,183.52246472212,190.10827523477,184.64377093839,188.10370296286,199.70203689047,187.20042082543,180.12872889332,174.13431306665,169.45398506058,165.59730941608,159.76964433668,159.00581502539
662,"LCA","Saint Lucia",316.05971977053,283.43125128314,270.66164295813,283.68853385554,259.27450280007,247.25696091484,233.52509208822,215.48139667913,188.72836657939,163.08960583891,142.65220673915,124.9109626135,116.34308155617,115.92285765886,116.16380072474,121.8361906725,119.84571639564,118.33815580288,116.89363397167,111.80967918045,106.88466052763,108.66440594601,106.76509864606,107.62877363665,112.97313447642,110.31634642165,108.62864476557,107.23297806864,106.04288663725,105.20439658763,104.63815021825,106.24215399604
670,"VCT","Saint Vincent and the Grenadines",556.32588218328,513.53197098038,469.05795893306,443.8024869463,415.55790617319,386.2471144621,361.28457986187,329.22213361697,292.75505429697,255.07789878533,219.14712195768,188.66870838285,167.77828246619,171.09256868908,163.83299774405,168.23050300421,163.42891441837,159.50686410418,153.4102666587,146.15681256295,138.45343413612,138.18661873302,134.32395819168,138.00179617154,149.20168183877,140.13255086835,130.07080651082,126.70007473826,123.60931569469,120.11885237168,115.96220358019,115.70363661622
882,"WSM","Samoa",195.18486359259,189.84272873571,185.02210598766,180.53468779916,176.43197277768,172.06196471606,168.0663880788,163.66752582445,156.70918564212,152.89281162266,146.20985985495,139.51100970069,133.00689602338,127.67197954848,123.06918417554,119.23189146403,115.51085872282,112.51844405275,109.52011610069,109.71915238494,110.4190129276,110.55699224701,110.78673041742,110.75794649539,110.93009032271,110.94307554872,111.36715317332,110.55763663279,110.10880784205,109.39251110539,110.03738938825,108.12552346443
674,"SMR","San Marino",2.76822002833,2.79474821734,2.73719779006,2.67216043524,2.59583071993,2.51090630868,2.42691945592,2.34119020937,2.25556021884,2.1759918226,2.12553032265,2.07830241798,2.09124442575,2.09833091034,2.10920370115,2.12211702616,2.13146976531,2.14206371912,2.15045831259,2.14613797,2.12974312449,2.10417844283,2.09826419441,2.09594484951,2.0820463101,2.05961985733,1.98118349011,1.81489496693,1.63958975266,1.54218943424,1.50626833011,1.46159624981
678,"STP","Sao Tome and Principe",3795.06682542021,3437.72320320885,3341.04884027559,3241.58074309569,3157.95784182298,2916.82386567262,2762.30074841306,2558.49867613791,2378.79875873087,2265.26067102714,1777.9231325356,1662.35861951197,1500.43349217686,1371.18480119864,1254.51075093594,1795.39103626546,1474.17196958707,1188.90689392855,1183.52510815904,992.70596956303,944.86403796448,768.76717032756,640.97246584816,586.89863839053,573.00215311258,524.14944095021,453.03915312785,419.38330824871,395.07805135208,371.9608141717,353.00284335948,331.37963498293
682,"SAU","Saudi Arabia",364.4750239195,327.26021884661,294.06212050428,264.4288476182,239.36868148902,216.87178408526,195.76817194765,179.31478209559,165.61843776877,154.11486175843,143.40998853336,134.16417775686,125.58975640136,117.27627089015,109.15669645576,100.48559337091,92.91765406495,87.11748226502,81.74297321303,77.34702566687,73.11112706241,68.55740255479,64.27550911343,58.34488347061,55.56652854468,53.43693551585,52.07919534027,50.87978476708,49.94405720124,49.08758082011,47.37925246865,46.99108885601
686,"SEN","Senegal",6558.44737322044,6226.69924949615,5900.87646412469,5614.60310044626,5362.72446297328,5031.19791626899,4792.44458980628,4420.93378118287,4196.34355382953,3989.7961547455,3593.81295492271,4000.75997807342,3713.74774261072,3340.66074480123,3393.52269176969,3243.80456633137,2861.90808107227,2648.35959732491,2427.50658974183,2213.84004934982,1924.70777277542,1755.24492629386,1522.25007396053,1394.22603799822,1301.46273647484,1150.9273941243,1121.1895198063,1037.82082340619,953.97979230355,902.66274273753,841.50468026002,781.51238620891
688,"SRB","Serbia",30.51935732719,28.63939465858,24.98266108655,24.61050115641,25.76936492939,24.7523925631,22.97138939492,21.78581294754,20.79048574112,18.33982131887,17.50557120485,17.27067813803,17.55234434466,18.78465744355,17.11135335265,15.80218325611,15.06063925156,14.27284188339,12.17533176674,13.51822090719,13.32543556662,13.25539960184,12.69730442093,13.10161528561,12.99477668127,12.96128970203,12.68390365094,12.29166972048,11.45341862473,10.8963013545,9.96735449718,9.45885274207
